,MAE,MSE,nDCG@3
0,1.1400967836380005,1.9277371168136597,0.35289444463691666
1,1.1624375581741333,2.0207231044769287,0.35135043364334884
2,1.1293727159500122,1.8698105812072754,0.35414594960252044
3,1.1274776458740234,1.8796710968017578,0.35117479952576747
4,1.1564654111862183,2.0098700523376465,0.349862001458134
5,1.1616535186767578,2.023308515548706,0.34865055003787937
6,1.1421356201171875,1.9303460121154785,0.3517069074287501
7,1.148319125175476,1.9800323247909546,0.35087685180838457
8,1.151352047920227,1.970829725265503,0.3500032976760866
9,1.141586184501648,1.9395495653152466,0.348963586287317
10,1.1226589679718018,1.8517969846725464,0.35138473805066817
11,1.124733328819275,1.8534795045852661,0.3543930183271185
12,1.1480101346969604,1.9584323167800903,0.35172476419075643
13,1.1209113597869873,1.8255940675735474,0.35268118500077933
14,1.1553642749786377,1.995813250541687,0.350405121270314
15,1.1390379667282104,1.9255633354187012,0.3538763612853421
16,1.1529831886291504,2.000204086303711,0.35073693794786304
17,1.1464968919754028,1.9582321643829346,0.35049324593005216
18,1.1331264972686768,1.9198789596557617,0.3514116593897582
19,1.1491351127624512,1.959580898284912,0.35083435072625285
