,MAE,MSE,nDCG@3
0,1.0836622714996338,1.625868558883667,0.25964228037045944
1,1.07994544506073,1.6195447444915771,0.2594559307845596
2,1.074236273765564,1.601121187210083,0.25986119234026395
3,1.039633870124817,1.5018359422683716,0.2610891268410566
4,1.0817745923995972,1.6173911094665527,0.2615921060735086
5,1.0900472402572632,1.636980414390564,0.25891866710082473
6,1.0790935754776,1.6165063381195068,0.26149441791324496
7,1.0782867670059204,1.6142100095748901,0.2636821849321839
8,1.086505651473999,1.6265619993209839,0.26281572980955326
9,1.0768647193908691,1.6036244630813599,0.2632161189896642
10,1.085650086402893,1.6332364082336426,0.2562016600177425
11,1.0785154104232788,1.60740065574646,0.26329954560020563
12,1.0740138292312622,1.6017358303070068,0.26076094812279493
13,1.082750916481018,1.617405891418457,0.2617585454595747
14,1.0802719593048096,1.6152890920639038,0.2602717337155492
15,1.088503122329712,1.6255213022232056,0.261210024533331
16,1.0647614002227783,1.5713536739349365,0.2619117442214206
17,1.0049558877944946,1.4365161657333374,0.2621331046457587
18,1.0649880170822144,1.5876233577728271,0.26087067932171826
19,1.1007295846939087,1.6563658714294434,0.2609403426453986
