,MAE,MSE,nDCG@3
0,1.096997857093811,1.6228004693984985,0.26966144547486837
1,1.093597173690796,1.6281241178512573,0.26010440368871524
2,1.089876651763916,1.6201176643371582,0.26017255968652786
3,1.0801327228546143,1.5902819633483887,0.2646948819087922
4,1.0974193811416626,1.6330476999282837,0.2637541463233958
5,1.0959687232971191,1.6298160552978516,0.25975781816320476
6,1.0839595794677734,1.5966169834136963,0.264180755006429
7,1.0877922773361206,1.6054478883743286,0.2665320681436443
8,1.093371868133545,1.6186904907226562,0.2668315237780555
9,1.1018630266189575,1.6503437757492065,0.2588655190530813
10,1.0975075960159302,1.6269702911376953,0.26943899467515836
11,1.0953603982925415,1.627780795097351,0.26639256286052937
12,1.091128945350647,1.6191989183425903,0.26115249634126353
13,1.0975456237792969,1.6278610229492188,0.26362135941485704
14,1.100331425666809,1.6380242109298706,0.2616552530840938
15,1.0912792682647705,1.612823486328125,0.26457168337294434
16,1.088250994682312,1.6067688465118408,0.26597707343439925
17,1.0980461835861206,1.6315288543701172,0.25943847566350764
18,1.0997979640960693,1.6448551416397095,0.259090237799756
19,1.0934720039367676,1.6219435930252075,0.2628264220503572
