,MAE,MSE,nDCG@3
0,1.0618599653244019,1.712650179862976,0.3543054847273123
1,1.0683307647705078,1.7338093519210815,0.35092537618913067
2,1.0750726461410522,1.7496840953826904,0.35357333364517257
3,1.0640608072280884,1.7235020399093628,0.3507582517293363
4,1.0525394678115845,1.6878870725631714,0.3540727208288162
5,1.0774060487747192,1.7564477920532227,0.35224669646036666
6,1.0606732368469238,1.7103514671325684,0.351920642164378
7,1.0606677532196045,1.712973952293396,0.3533562744069575
8,1.06578528881073,1.7222797870635986,0.3511104860058107
9,1.058983564376831,1.7005620002746582,0.3535557739059631
10,1.0503818988800049,1.6759859323501587,0.35287982732984297
11,1.059327483177185,1.6973801851272583,0.3538374941108039
12,1.0633631944656372,1.7168182134628296,0.35237208547257787
13,1.0740008354187012,1.7488359212875366,0.34978721148246644
14,1.0719468593597412,1.7348804473876953,0.35012665141053395
15,1.0492839813232422,1.6694713830947876,0.3526715927861948
16,1.0696355104446411,1.7492351531982422,0.3502981442541248
17,1.0368061065673828,1.6159396171569824,0.35482521427160824
18,1.0642582178115845,1.7157038450241089,0.3509051853696328
19,1.0602854490280151,1.7123643159866333,0.35391602408904804
