,mae (w/o at),mae (w/ at),mse (w/o at),mse (w/ at),ndcg (w/o at),ndcg (w/ at)
uniform,1.13347,0.98159,1.90703,1.45334,0.35181,0.35283
user,1.06223,0.94551,1.71234,1.349,0.35237,0.35261
item,1.14267,0.97721,1.94002,1.45176,0.35138,0.35267
both,1.16233,0.99074,1.97925,1.50947,0.34947,0.35324
nb,1.17076,1.01033,1.95498,1.51179,0.35185,0.35273
nb_true,0.79719,0.76497,1.0556,1.01362,0.35165,0.35372
