,mae (w/o at),mae (w/ at),mse (w/o at),mse (w/ at),ndcg (w/o at),ndcg (w/ at)
uniform,1.08832,1.05815,1.6144,1.576,0.26407,0.27274
user,1.09368,1.04358,1.62265,1.52361,0.26344,0.26796
item,1.07476,0.97552,1.6008,1.39049,0.26106,0.26518
both,1.07351,0.97553,1.59782,1.39052,0.26119,0.26542
nb,1.09202,1.02856,1.61828,1.47219,0.257,0.26028
nb_true,0.92561,0.9358,1.3138,1.33271,0.26418,0.27091
