,MAE,MSE,nDCG@3
0,1.1059547662734985,1.8111449480056763,0.3541537539432106
1,1.141048789024353,1.9359029531478882,0.350825513903934
2,1.1341757774353027,1.9011565446853638,0.35319562097654855
3,1.121712565422058,1.8555512428283691,0.35294918400693936
4,1.1540937423706055,1.9940402507781982,0.3500529013908677
5,1.1527869701385498,1.9703376293182373,0.34971987225674933
6,1.1381034851074219,1.919847846031189,0.3519336474194162
7,1.140411138534546,1.9432470798492432,0.3503735294676159
8,1.1587907075881958,2.007218599319458,0.34888239116464687
9,1.1208118200302124,1.856325387954712,0.3520424535905703
10,1.1365957260131836,1.9167367219924927,0.35166333271031613
11,1.1135072708129883,1.8401318788528442,0.35311351016215914
12,1.1300709247589111,1.8881139755249023,0.3509870447816271
13,1.1337740421295166,1.9028682708740234,0.35209403041474396
14,1.1445634365081787,1.9359458684921265,0.35102687468256405
15,1.1301735639572144,1.8985397815704346,0.35417196213081914
16,1.139196515083313,1.9361159801483154,0.35181927716145184
17,1.1011409759521484,1.782562494277954,0.3525784921241632
18,1.108641505241394,1.826296329498291,0.3537457819122236
19,1.163783073425293,2.0184783935546875,0.35096336980865445
