,MAE,MSE,nDCG@3
0,0.8350108861923218,1.1113715171813965,0.2865775801222067
1,0.832828164100647,1.1173508167266846,0.2854138889083806
2,0.8492563962936401,1.165029764175415,0.2889512866002427
3,0.8373043537139893,1.1075904369354248,0.2890250284584653
4,0.8333386778831482,1.1741987466812134,0.2940125800181901
5,0.8250782489776611,1.1289719343185425,0.29141166325574147
6,0.8217571973800659,1.0891139507293701,0.2883703976974941
7,0.8285974264144897,1.128565788269043,0.2939321225908549
8,0.8264794945716858,1.1000399589538574,0.2918794397714483
9,0.8450586199760437,1.1337263584136963,0.28933035674363927
10,0.8349511623382568,1.1675876379013062,0.2916662253954283
11,0.8238521218299866,1.0963482856750488,0.28995061636283276
12,0.8280776143074036,1.0988727807998657,0.2937511173720138
13,0.827682375907898,1.111250638961792,0.2857564949784677
14,0.8470137715339661,1.1314172744750977,0.28935802687651985
15,0.8295661211013794,1.1269407272338867,0.2939900005291607
16,0.8321671485900879,1.1191211938858032,0.2914521903416081
17,0.8191927671432495,1.0743716955184937,0.29311124722543574
18,0.836651086807251,1.1589168310165405,0.2948581840075705
19,0.822307825088501,1.0804778337478638,0.28897746825946596
