,MAE,MSE,nDCG@3
0,0.9763988852500916,1.385983943939209,0.2671592010349102
1,0.9605010747909546,1.3716695308685303,0.2642717880956823
2,0.9888385534286499,1.4189095497131348,0.2636051204884214
3,0.97681725025177,1.3853799104690552,0.2622579628393992
4,0.9835488796234131,1.4045319557189941,0.26559325587525356
5,0.9873278141021729,1.4185329675674438,0.2610858481929403
6,0.9782665967941284,1.4010030031204224,0.2685817666851048
7,0.9600369334220886,1.378416657447815,0.26708377763182956
8,0.9605030417442322,1.3718855381011963,0.26264052770759994
9,0.9750010371208191,1.3904727697372437,0.269176526600531
10,0.9644570350646973,1.3744754791259766,0.266302775759204
11,0.9884060025215149,1.4176759719848633,0.2612643707569949
12,0.9657488465309143,1.3717552423477173,0.27009125618134344
13,0.9755691289901733,1.3820772171020508,0.2644907670162545
14,0.9798634052276611,1.3914015293121338,0.26261448672749416
15,0.9705992341041565,1.377661943435669,0.2641258001000566
16,0.9663261771202087,1.3706367015838623,0.2682477731523237
17,0.9890464544296265,1.407438039779663,0.26213839477846684
18,0.9818888306617737,1.3858946561813354,0.26837739249652165
19,0.9812904596328735,1.4039779901504517,0.2644921807996225
