,MAE,MSE,nDCG@3
0,1.1513272523880005,1.8918399810791016,0.35324968465186246
1,1.1808440685272217,1.9913792610168457,0.3506985595031334
2,1.1604969501495361,1.9056552648544312,0.3536611986409618
3,1.151811122894287,1.8806639909744263,0.353595698250721
4,1.1928523778915405,2.0482900142669678,0.3503068093179927
5,1.1936310529708862,2.0330841541290283,0.3496806222022247
6,1.1772937774658203,1.973227620124817,0.3520241664656889
7,1.1842973232269287,2.0172948837280273,0.35024319258688447
8,1.1878310441970825,2.0186727046966553,0.3482406975537756
9,1.1530838012695312,1.8876429796218872,0.35203084010392355
10,1.1798311471939087,1.9901108741760254,0.3508147738706256
11,1.147778868675232,1.8692220449447632,0.3546219292308458
12,1.1573245525360107,1.901419758796692,0.3516235302292677
13,1.1797386407852173,1.983023762702942,0.35225165369575484
14,1.1789108514785767,1.9776041507720947,0.35045109139683617
15,1.1672356128692627,1.9426838159561157,0.3541130740659488
16,1.1789424419403076,1.9924156665802002,0.3514958380638172
17,1.1431883573532104,1.8488785028457642,0.3530801993079132
18,1.14774751663208,1.8797788619995117,0.35425172188095533
19,1.2009516954421997,2.066725254058838,0.350578932357237
