,MAE,MSE,nDCG@3
0,1.1663365364074707,2.005228042602539,0.3485558030371579
1,1.169106364250183,2.009037733078003,0.3496399517201102
2,1.157946228981018,1.9491764307022095,0.35176078951177897
3,1.1543729305267334,1.9419512748718262,0.3499929111970598
4,1.1734710931777954,2.051553249359131,0.3486258698130858
5,1.1746503114700317,2.038501024246216,0.3479153977695984
6,1.1613115072250366,1.9709199666976929,0.3492647730883145
7,1.1672279834747314,2.0194602012634277,0.3475887817427642
8,1.1685372591018677,2.0174949169158936,0.34866101706162367
9,1.1490248441696167,1.922839641571045,0.3497088805192581
10,1.1509151458740234,1.9239201545715332,0.3489332670220751
11,1.1562368869781494,1.940453052520752,0.3524087423947824
12,1.1637325286865234,1.9690884351730347,0.3489816425965045
13,1.158931016921997,1.9467272758483887,0.3486009998608201
14,1.1654598712921143,1.9944885969161987,0.34995325838944397
15,1.1639920473098755,1.9933327436447144,0.35092857285567475
16,1.169589877128601,2.0190494060516357,0.3492008922639289
17,1.1562496423721313,1.936090350151062,0.3487416774092118
18,1.1506602764129639,1.9515306949615479,0.3508661150933035
19,1.1688653230667114,1.9840911626815796,0.349001000816624
