,MAE,MSE,nDCG@3
0,1.1009470224380493,1.6345945596694946,0.2639755261783711
1,1.0812453031539917,1.5926568508148193,0.2565065789733264
2,1.0701044797897339,1.5676625967025757,0.2539486169274503
3,1.0905506610870361,1.6147788763046265,0.259772781397638
4,1.065082311630249,1.5509330034255981,0.25316275675969974
5,1.0436562299728394,1.4980076551437378,0.2539620234420779
6,1.1034619808197021,1.6469985246658325,0.25445885573023946
7,1.0976464748382568,1.6311715841293335,0.26200927253365625
8,1.0983881950378418,1.631942868232727,0.25710250800315654
9,1.1089435815811157,1.6687068939208984,0.25094837475313847
10,1.104604721069336,1.6448017358779907,0.2605662595910014
11,1.1032910346984863,1.6492252349853516,0.25857788305407764
12,1.0883123874664307,1.6165481805801392,0.25732014883930493
13,1.1034595966339111,1.642256498336792,0.2577228586536858
14,1.1110132932662964,1.6634918451309204,0.25574782905618715
15,1.045177936553955,1.4866963624954224,0.2610262924580635
16,1.0984896421432495,1.6384897232055664,0.2567450654724747
17,1.1059235334396362,1.6495667695999146,0.2543438001376544
18,1.1041946411132812,1.6530489921569824,0.2585383419362474
19,1.115903377532959,1.684037685394287,0.2536600488092231
